"Title:","Unemployment from the Employment and Unemployment - Non-Seasonally Adjusted Database"
"SubTitle:","Counties within State"
"Time:","01/1990 - 09/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-20). Employment and Unemployment - Non-Seasonally Adjusted: Unemployment | Albany, Berkshire, Goshen, Lincoln, Madison, Newport, Providence, Saratoga, Suffolk, Washington, Worcester, 01/1990 - 09/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-013-003 doi:https://doi.org/10.6068/DP184A09C29E252"
"ColumnCount:",13
"RowCount:",393

"Time","Albany, Wyoming, #","Albany, New York, #","Berkshire, Massachusetts, #","Goshen, Wyoming, #","Lincoln, Wyoming, #","Madison, New York, #","Newport, Rhode Island, #","Providence, Rhode Island, #","Saratoga, New York, #","Suffolk, Massachusetts, #","Washington, Rhode Island, #","Worcester, Massachusetts, #"
"01/1990",947,5022,4824,293,473,2342,2872,21598,4219,18991,3186,23649
"02/1990",887,5092,4773,453,453,2346,2848,21345,4360,18770,3115,23899
"03/1990",907,4686,4869,433,456,2184,2499,18429,4019,18884,2347,23854
"04/1990",904,3952,4691,336,377,1791,2344,19613,3454,19239,2717,22970
"05/1990",830,4084,4588,250,306,1552,2138,19508,3238,20185,2519,23737
"06/1990",838,3967,4560,262,304,1456,2120,19800,2913,21418,2346,25705
"07/1990",749,4438,4709,202,253,1448,2198,21821,2853,22565,2458,26899
"08/1990",806,4420,4643,188,258,1336,2316,20313,2781,23410,2499,26766
"09/1990",829,4888,4725,187,256,1347,2429,20762,3261,24881,2351,27786
"10/1990",815,4759,5132,167,264,1392,2529,20480,3245,23156,2502,26702
"11/1990",902,5290,5918,198,394,2069,2744,21242,3495,23799,2946,28674
"12/1990",840,5643,6607,179,426,2293,3015,21931,4289,24066,3070,29460
"01/1991",695,6985,8161,238,597,3093,3968,28000,5709,26447,4066,34608
"02/1991",642,7444,8520,215,586,3206,4235,28859,6236,27616,4259,35471
"03/1991",636,7437,8689,396,592,3290,4102,28578,6239,28364,4309,35944
"04/1991",606,7136,7933,252,455,2803,3564,25814,5448,26650,3516,33247
"05/1991",590,7082,7775,247,337,2443,3193,26885,5077,29987,3409,35228
"06/1991",561,7481,7780,248,364,2485,3168,26901,5181,32108,3318,37069
"07/1991",481,7524,7196,217,316,2298,3133,27306,5058,31754,3303,38005
"08/1991",427,7435,6751,160,282,2223,3193,27152,4642,31993,3532,35868
"09/1991",400,7816,6678,148,300,2091,3151,27794,4950,32290,3347,36003
